Gene Symbol,Gene Ontology Biological Process,Gene Ontology Cellular Component,Gene Ontology Molecular Function,Pathway
HIST1H3G,0006334 // nucleosome assembly // inferred from electronic annotation,0000786 // nucleosome // inferred from electronic annotation /// 0005634 // nucleus // inferred from electronic annotation /// 0005694 // chromosome // inferred from electronic annotation,0003677 // DNA binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction,---
TNFAIP8L1,---,---,---,---
OTOP2,---,0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // inferred from electronic annotation,---,---
C17orf78,---,0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // inferred from electronic annotation,---,---
CTAGE6,---,0016020 // membrane // inferred from electronic annotation /// 0016021 // integral to membrane // inferred from electronic annotation,---,---
F8A1,---,0005634 // nucleus // inferred from direct assay,---,Blood_Clotting_Cascade // GenMAPP
LOC285501,---,---,---,---
SAMD7,---,---,---,---
ARRDC5,---,---,---,---
CGB,0006915 // apoptosis // traceable author statement /// 0007165 // signal transduction // traceable author statement /// 0007186 // G-protein coupled receptor protein signaling pathway // not recorded /// 0007267 // cell-cell signaling // traceable author statement /// 0007292 // female gamete generation // traceable author statement,0005576 // extracellular region // not recorded /// 0005576 // extracellular region // inferred from electronic annotation /// 0005625 // soluble fraction // traceable author statement,0005179 // hormone activity // inferred from electronic annotation /// 0005179 // hormone activity // traceable author statement,Cell_cycle_KEGG // GenMAPP /// G1_to_S_cell_cycle_Reactome // GenMAPP
C1orf173,---,---,---,---
FAM86C,---,---,---,---
HIST1H2BI,0006334 // nucleosome assembly // inferred from electronic annotation /// 0006334 // nucleosome assembly // non-traceable author statement /// 0042742 // defense response to bacterium // inferred from electronic annotation,0000786 // nucleosome // inferred from electronic annotation /// 0000786 // nucleosome // non-traceable author statement /// 0005634 // nucleus // inferred from electronic annotation /// 0005694 // chromosome // inferred from electronic annotation,0003677 // DNA binding // inferred from electronic annotation /// 0003677 // DNA binding // non-traceable author statement /// 0005515 // protein binding // inferred from physical interaction,---
