,0
141,FCER1G
142,PATL2
143,BTK
144,AIF1
145,RNF166
146,EMR1
147,GMFG
148,GAB3
149,SIRPG
150,ST8SIA4
151,IL2RB
152,DOK2
153,HVCN1
154,C10orf54
155,TLR4
156,C16orf54
157,FAM78A
158,LILRB1
159,CD6
160,TMC8
161,HCLS1
162,LILRA5
163,CRLF3
164,IDO1
165,EMB
166,KIAA1949
167,PDCD1LG2
168,SIGLEC1
169,TIGIT
170,CD3D
171,GPR65
172,KLRG1
173,RHOG
174,FCRL3
175,TLR2
176,SLAMF7
177,ITGB2
178,ABI3
179,TBXAS1
180,HK2
181,CXCR6
182,ADA
183,DOCK11
184,CRTAM
185,PRKCD
186,BCL2A1
187,SH2D2A
188,FAM49B
189,SIGLEC10
190,CDKN2D
191,RHOH
192,CYBA
193,March 1
194,TAP1
195,WARS
196,CD27
197,SEC14L1
198,SAMD9L
199,GPR18
200,JAK2
201,FLI1
202,BAZ1A
203,GZMK
204,RNASET2
205,STAT5A
206,NCF2
207,LOC440459
208,PRDM1
209,ASPHD2
210,IL23A
211,FAM105A
212,PTPRE
213,C19orf38
214,LPCAT2
215,Septin 1
216,IRF1
217,CYTH4
218,EFHD2
219,BCL11B
220,MAP4K1
221,LYN
222,FAIM3
223,NLRC3
224,SIGLEC5
225,HCST
226,BATF
227,LRRC25
228,ARHGAP25
229,CD86
230,UCP2
231,NCF1
232,SYTL3
233,TRAFD1
234,ANKRD44
235,APOBEC3C
236,THEMIS
237,HLA-E
238,FGL2
239,PTAFR
240,MYO1G
241,FCGR1A
242,ZC3H12D
243,CTRL
244,TNFRSF1B
245,ICOS
246,ARHGEF3
247,TARP
248,C1QA
249,LPXN
250,DOCK10
251,PTPN7
252,CD96
253,LY75
254,PSMB9
255,RIPK3
256,GLIPR2
257,CHST11
258,WDFY4
259,NBEAL2
260,DUSP2
261,APOBEC3A
262,CLEC2D
263,TNFSF13B
264,CDCA7
265,CLEC4E
266,IRAK3
267,BTLA
268,EPB41L3
269,CCND3
270,CYBB
271,CD44
272,MAP3K8
273,FCGR1B
274,RILPL2
275,SLC8A1
276,LRRC8C
277,PILRA
278,LIMD2
279,ZNF831
280,PSTPIP2
281,CMTM7
282,CD160
283,KIAA0748
284,ARHGAP9
285,FAM49A
286,TYROBP
287,SLC1A5
288,CD8B
289,CD37
290,DOK3
291,EBI3
292,HLA-F
293,S1PR4
294,IL16
295,PRR5L
296,IL27RA
297,BATF2
298,LRMP
299,CECR1
300,KCNJ10
301,CIITA
302,SYK
303,TSPAN14
304,CTLA4
305,APOL4
306,TRPV2
307,TXK
308,MNDA
309,AKNA
310,CASP5
311,FGFBP2
312,MS4A6A
313,RGS10
314,CSK
315,LAPTM5
316,KLHL6
317,KIF21B
318,GCET2
319,CLIC2
320,BTN3A1
321,PARP15
322,SEMA4A
323,MLKL
324,CTSS
325,FCRL6
326,SP110
327,APOBEC3G
328,ALOX5AP
329,MAP3K3
330,RARRES3
331,TOX
332,PIP4K2A
333,LGALS9
334,PLEKHO2
335,LAT
336,CCL4
337,KLRC1
338,DENND2D
339,PYCARD
340,CYSLTR1
341,CXorf21
342,TRAT1
343,LAT2
344,MS4A7
345,C13orf18
346,TNFAIP6
347,CEP110
348,IRF8
349,HAPLN3
350,PIK3CG
351,CLEC2B
352,LILRA2
353,MFNG
354,CRYM
355,ARL4C
356,PPM1M
357,CTSW
358,RASAL3
359,MPZL2
360,SMAP2
361,GIT2
362,C1QB
363,CCR1
364,CD244
365,CMKLR1
366,LAX1
367,LILRB4
368,AMICA1
369,SIT1
370,NAGK
371,GCA
372,PLEKHO1
373,GBP4
374,IL18BP
375,FCGR3A
376,CARD8
377,ATP8B1
378,IL15
379,IMPDH1
380,HAVCR2
381,TMEM9
382,GIMAP2
383,SDC3
384,NOD2
385,MARCO
386,CLIC3
387,DLEU2
388,C6orf150
389,ADCY7
390,SH3BP1
391,GNLY
392,HSPBAP1
393,HLA-DOA
394,PIM2
395,DPEP2
396,TMEM71
397,STK4
398,TMC6
399,HORMAD1
400,TSPAN32
401,CASP1
402,P2RY10
403,CD300LF
404,PLAC8
405,OSCAR
406,ARAP2
407,CD3E
408,IL21R
409,KLF2
410,PPP1R16B
411,SLC45A4
412,RCSD1
413,DGKA
414,CSF1R
415,IQGAP1
416,SLC31A2
417,GMIP
418,CD180
419,PARP8
420,VSIG4
421,TLR1
422,RAB31
423,GBP2
424,GPR109A
425,FBN2
426,GBP1
427,BTN3A2
428,C1QC
429,SAMHD1
430,LPAR2
431,TGFB1
432,INPP4A
433,C11orf52
434,EAF2
435,SIGLEC14
436,TCIRG1
437,LSP1
438,CXCR2
439,CD74
440,GRK6
441,P2RY6
442,P2RY14
443,GGTA1
444,TAP2
445,CEACAM4
446,TNFRSF9
447,GPCPD1
448,MPEG1
449,PTGDR
450,BTN3A3
451,NIN
452,RASGRP1
453,TTC23
454,TRAF5
455,FOLR2
456,SLA2
457,CXCL11
458,SLAMF8
459,S1PR5
460,SLC44A2
461,DSG2
462,KLRC3
463,MYOF
464,TFEC
465,ARHGEF1
466,INPP4B
467,FAM47E
468,CAV2
469,P2RY12
470,UNC13B
471,ANKRD13D
472,SIGLEC9
473,FAR2
474,KCNA3
475,SIGLEC11
476,CLDN3
477,VNN2
478,SYTL1
479,SMCHD1
480,PPP1R3D
481,LRRC33
482,JARID2
483,TNFAIP8
484,FRMD3
485,BLVRA
486,HLA-B
487,FAM113B
488,GNGT2
489,KLRF1
490,LY96
491,RGL4
492,PRKCQ
493,CFP
494,IKZF3
495,TNF
496,CR1
497,PAQR8
498,GRB2
499,AMFR
