,0
0,PRF1
1,BIN2
2,SELL
3,RAC2
4,AIM2
5,FAM65B
6,PRKCB
7,STX11
8,CST7
9,KLRD1
10,VAV1
11,CYTIP
12,NKG7
13,CORO1A
14,MYO1F
15,GIMAP5
16,SELPLG
17,CELF2
18,STK10
19,SLA
20,HK3
21,SASH3
22,IPCEF1
23,TAGAP
24,TLR8
25,RGS18
26,FAM26F
27,BASP1
28,CD97
29,RUNX3
30,KLRK1
31,TBX21
32,PTGER2
33,CD300A
34,PREX1
35,LCP2
36,FPR2
37,ANKRD22
38,EVI2B
39,KCNJ2
40,FGD3
41,LCP1
42,NLRC4
43,GBP5
44,NLRC5
45,WIPF1
46,PIK3R5
47,HCK
48,CD247
49,FYB
50,DENND3
51,GIMAP1
52,CLEC7A
53,FGR
54,LCK
55,DAPP1
56,FPR1
57,FERMT3
58,ITGAL
59,GZMB
60,PLEK
61,ELF4
62,DOCK2
63,CSF2RB
64,COTL1
65,GIMAP4
66,ARHGDIB
67,LAG3
68,CD8A
69,SLC7A7
70,NCKAP1L
71,GIMAP7
72,ARHGAP4
73,SP140
74,P2RY13
75,CD38
76,IKZF1
77,IL2RG
78,GCNT1
79,STK17B
80,IL10RA
81,SAMD3
82,TNFAIP8L2
83,EOMES
84,SECTM1
85,IFNG
86,CD53
87,PVRIG
88,TRAF3IP3
89,ARHGAP30
90,P2RX5
91,RGS19
92,FCN1
93,GIMAP8
94,DEF6
95,MCOLN2
96,PYHIN1
97,CCL5
98,CD2
99,SH2D1A
100,DOCK8
101,SAMSN1
102,HMHA1
103,GZMA
104,PTPN6
105,PRKCH
106,CD72
107,C1orf162
108,ITK
109,ALOX5
110,PTPRC
111,PTPRCAP
112,P2RY8
113,CLEC12A
114,PTGER4
115,RASGEF1A
116,GPSM3
117,AOAH
118,LOC100128751
119,LILRB2
120,FASLG
121,IL18RAP
122,CD48
123,LST1
124,NCF4
125,PARVG
126,TBC1D10C
127,GZMH
128,C1orf38
129,PTPN22
130,ZAP70
131,GPR171
132,RASSF2
133,CSF3R
134,EMR2
135,MOBKL2A
136,C1orf59
137,C17orf87
138,SRGN
139,ACAP1
140,TRBC1
