"Sample","Cluster"
"GSM4332655","1"
"GSM4332656","1"
"GSM4332657","2"
"GSM4332658","3"
"GSM4332659","1"
"GSM4332660","2"
"GSM4332661","1"
"GSM4332662","2"
"GSM4332663","1"
"GSM4332664","3"
"GSM4332665","1"
"GSM4332666","3"
"GSM4332667","1"
"GSM4332668","3"
"GSM4332669","1"
"GSM4332670","3"
"GSM4332671","3"
"GSM4332672","1"
"GSM4332673","3"
"GSM4332674","3"
"GSM4332675","1"
"GSM4332676","1"
"GSM4332677","1"
"GSM4332678","3"
"GSM4332679","3"
"GSM4332680","3"
"GSM4332681","3"
"GSM4332682","3"
"GSM4332683","3"
"GSM4332684","3"
"GSM4332685","3"
"GSM4332686","1"
"GSM4332687","1"
"GSM4332688","1"
"GSM4332689","2"
"GSM4332690","1"
"GSM4332691","1"
"GSM4332692","1"
"GSM4332693","4"
"GSM4332694","1"
"GSM4332695","1"
"GSM4332696","1"
"GSM4332697","1"
"GSM4332698","1"
"GSM4332699","3"
"GSM4332700","1"
"GSM4332701","2"
"GSM4332702","4"
"GSM4332703","1"
"GSM4332704","1"
"GSM4332705","1"
"GSM4332706","1"
"GSM4332707","4"
"GSM4332708","2"
"GSM4332709","1"
"GSM4332710","1"
"GSM4332711","3"
"GSM4332712","3"
"GSM4332713","4"
"GSM4332714","3"
"GSM4332715","2"
"GSM4332716","3"
"GSM4332717","2"
"GSM4332718","1"
"GSM4332719","1"
"GSM4332720","1"
"GSM4332721","3"
"GSM4332722","3"
"GSM4332723","2"
"GSM4332724","3"
"GSM4332725","2"
"GSM4332726","2"
"GSM4332727","3"
"GSM4332728","1"
"GSM4332729","1"
"GSM4332730","2"
"GSM4332731","1"
"GSM4332732","3"
"GSM4332733","1"
"GSM4332734","1"
"GSM4332735","1"
"GSM4332736","1"
"GSM4332737","3"
"GSM4332738","3"
"GSM4332739","2"
"GSM4332740","1"
"GSM4332741","3"
"GSM4332742","1"
"GSM4332743","1"
"GSM4332744","1"
"GSM4332745","1"
"GSM4332746","2"
"GSM4332747","3"
"GSM4332748","3"
"GSM4332749","2"
"GSM4332750","3"
"GSM4332751","1"
"GSM4332752","1"
"GSM4332753","1"
"GSM4332754","1"
"GSM4332755","1"
"GSM4332756","1"
"GSM4332757","2"
"GSM4332758","1"
"GSM4332759","2"
"GSM4332760","1"
"GSM4332761","4"
"GSM4332762","4"
"GSM4332763","3"
"GSM4332764","3"
"GSM4332765","3"
"GSM4332766","1"
"GSM4332767","3"
"GSM4332768","1"
"GSM4332769","3"
"GSM4332770","1"
"GSM4332771","1"
"GSM4332772","3"
"GSM4332773","3"
"GSM4332774","2"
"GSM4332775","1"
"GSM4332776","3"
"GSM4332777","1"
"GSM4332778","1"
"GSM4332779","1"
"GSM4332780","1"
"GSM4332781","1"
"GSM4332782","3"
"GSM4332783","1"
"GSM4332784","1"
"GSM4332785","1"
"GSM4332786","1"
"GSM4332787","2"
"GSM4332788","1"
"GSM4332789","1"
"GSM4332790","2"
"GSM4332791","3"
"GSM4332792","1"
"GSM4332793","1"
"GSM4332794","2"
"GSM4332795","2"
"GSM4332796","2"
"GSM4332797","2"
"GSM4332798","1"
"GSM4332799","1"
"GSM4332800","1"
"GSM4332801","1"
"GSM4332802","3"
"GSM4332803","3"
"GSM4332804","3"
"GSM4332805","3"
"GSM4332806","1"
"GSM4332807","1"
"GSM4332808","1"
"GSM4332809","1"
"GSM4332810","1"
"GSM4332811","2"
"GSM4332812","1"
"GSM4332813","1"
"GSM4332814","1"
"GSM4332815","2"
"GSM4332816","2"
"GSM4332817","3"
"GSM4332818","1"
"GSM4332819","3"
"GSM4332820","3"
"GSM4332821","2"
"GSM4332822","3"
"GSM4332823","1"
"GSM4332824","1"
"GSM4332825","2"
"GSM4332826","1"
"GSM4332827","1"
"GSM4332828","4"
"GSM4332829","1"
"GSM4332830","2"
"GSM4332831","3"
"GSM4332832","3"
"GSM4332833","1"
"GSM4332834","1"
"GSM4332835","1"
"GSM4332836","3"
"GSM4332837","1"
"GSM4332838","2"
"GSM4332839","1"
"GSM4332840","3"
"GSM4332841","2"
"GSM4332842","1"
"GSM4332843","1"
"GSM4332844","2"
"GSM4332845","1"
"GSM4332846","1"
"GSM4332847","3"
"GSM4332848","3"
"GSM4332849","3"
"GSM4332850","2"
"GSM4332851","3"
"GSM4332852","2"
"GSM4332853","2"
"GSM4332854","1"
"GSM4332855","1"
"GSM4332856","1"
"GSM4332857","1"
"GSM4332858","2"
"GSM4332859","1"
"GSM4332860","1"
"GSM4332861","1"
"GSM4332862","1"
"GSM4332863","1"
"GSM4332864","1"
"GSM4332865","1"
"GSM4332866","1"
"GSM4332867","1"
"GSM4332868","4"
"GSM4332869","1"
"GSM4332870","1"
"GSM4332871","1"
"GSM4332872","1"
"GSM4332873","1"
"GSM4332874","1"
"GSM4332875","1"
"GSM4332876","3"
"GSM4332877","3"
"GSM4332878","1"
"GSM4332879","3"
"GSM4332880","1"
"GSM4332881","1"
"GSM4332882","1"
"GSM4332883","1"
"GSM4332884","1"
"GSM4332885","1"
"GSM4332886","1"
"GSM4332887","1"
"GSM4332888","1"
"GSM4332889","1"
